function_name,number_of_invocations
soykb-benchmark-start,1
alignment,20
sort,20
dedup,20
add,20
realign,20
indel,20
haplotype,350
merge,1
genotype,20
combine,1
select,2
filtering,2
soykb-benchmark-finish,1
